                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.1497,                 4.3603,                 4.1913,                      0,                      0,                      0,                      0,                 6.5896,                 4.0884,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      1,                 6.4354,                 4.3736,                 4.2415,                      0,                      0,                      0,                      0,                 6.5895,                 4.0911,                 4.1598,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      2,                 6.5303,                 4.8356,                  4.238,                      0,                      0,                      0,                      0,                 6.5895,                 4.0933,                 4.1597,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 6.4192,                 3.8326,                 4.0707,                      0,                      0,                      0,                      0,                 6.5894,                 4.0931,                 4.1599,             0.00013958,             0.00013958,             0.00013958
                      4,                 6.0862,                 3.5857,                 3.8413,                      0,                      0,                      0,                      0,                 6.5889,                 4.0984,                 4.1603,             0.00017929,             0.00017929,             0.00017929
                      5,                  5.822,                 3.2528,                   3.72,                      0,                      0,                      0,                      0,                 6.5888,                 4.1043,                 4.1624,             0.00021891,             0.00021891,             0.00021891
                      6,                 5.7783,                 3.0168,                 3.4598,                      0,                      0,                      0,                      0,                 6.5892,                 4.1079,                 4.1658,             0.00025846,             0.00025846,             0.00025846
                      7,                  4.704,                 2.5821,                 3.2191,                      0,                      0,                      0,                      0,                 6.5918,                 4.1181,                 4.1723,             0.00029792,             0.00029792,             0.00029792
                      8,                 4.6108,                 2.6443,                 3.0838,                      0,                      0,                      0,                      0,                 6.5922,                 4.1223,                 4.1768,             0.00033731,             0.00033731,             0.00033731
                      9,                 3.5385,                 2.0577,                  2.991,                      0,                      0,                      0,                      0,                 6.5934,                 4.1238,                 4.1853,             0.00037661,             0.00037661,             0.00037661
                     10,                 3.1019,                 1.8005,                 2.7555,                      0,                      0,                      0,                      0,                 6.5967,                 4.1271,                  4.194,             0.00041584,             0.00041584,             0.00041584
                     11,                  3.473,                  1.865,                 2.6227,                      0,                      0,                      0,                      0,                 6.5977,                 4.1175,                 4.2044,             0.00045499,             0.00045499,             0.00045499
