                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.1387,                 4.3177,                 4.2286,                      0,                      0,                      0,                      0,                 6.5896,                 4.0889,                 4.1587,                  2e-05,                  2e-05,                  2e-05
                      1,                  6.414,                 4.3545,                 4.2627,                      0,                      0,                      0,                      0,                 6.5896,                 4.0888,                 4.1587,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      2,                 6.5096,                 4.6548,                 4.2772,                      0,                      0,                      0,                      0,                 6.5895,                 4.0916,                 4.1582,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 6.4345,                 4.2626,                 4.1224,                      0,                      0,                      0,                      0,                 6.5895,                 4.0962,                 4.1578,             0.00013958,             0.00013958,             0.00013958
                      4,                 6.1768,                 3.5252,                 3.9042,                      0,                      0,                      0,                      0,                   6.59,                  4.095,                 4.1587,             0.00017929,             0.00017929,             0.00017929
                      5,                 5.2025,                  3.167,                 3.5112,                      0,                      0,                      0,                      0,                 6.5914,                 4.0952,                 4.1616,             0.00021891,             0.00021891,             0.00021891
                      6,                 4.3706,                  2.937,                 3.3641,                      0,                      0,                      0,                      0,                 6.5923,                 4.1039,                 4.1652,             0.00025846,             0.00025846,             0.00025846
                      7,                 3.6028,                 2.3761,                 3.2109,                      0,                      0,                      0,                      0,                 6.5931,                 4.1243,                 4.1727,             0.00029792,             0.00029792,             0.00029792
                      8,                 3.5462,                 2.0352,                 2.9986,                      0,                      0,                      0,                      0,                 6.5957,                  4.123,                 4.1784,             0.00033731,             0.00033731,             0.00033731
                      9,                 2.9223,                 1.7883,                 2.9558,                      0,                      0,                      0,                      0,                 6.5973,                 4.1292,                 4.1858,             0.00037661,             0.00037661,             0.00037661
                     10,                 2.6625,                 1.6454,                 2.7987,                      0,                      0,                      0,                      0,                  6.601,                 4.1459,                 4.1963,             0.00041584,             0.00041584,             0.00041584
                     11,                  2.738,                 1.5292,                 2.6399,                      0,                      0,                      0,                      0,                 6.6031,                 4.1492,                 4.2053,             0.00045499,             0.00045499,             0.00045499
                     12,                 2.5644,                 1.3924,                 2.5134,                      0,                      0,                      0,                      0,                  6.608,                 4.1393,                 4.2175,             0.00049406,             0.00049406,             0.00049406
                     13,                 2.0589,                 1.2717,                  2.405,                      0,                      0,                      0,                      0,                 6.6113,                 4.0937,                 4.2306,             0.00053305,             0.00053305,             0.00053305
                     14,                 2.3004,                 1.2965,                 2.3076,                      0,                      0,                      0,                      0,                 6.6169,                 4.0704,                 4.2468,             0.00057196,             0.00057196,             0.00057196
                     15,                 2.2093,                  1.231,                 2.2149,                      0,                      0,                      0,                      0,                 6.6222,                 4.0766,                 4.2617,             0.00061079,             0.00061079,             0.00061079
                     16,                 3.1643,                 1.3661,                 2.0275,                      0,                      0,                      0,                      0,                 6.6236,                 4.0851,                 4.2701,             0.00064955,             0.00064955,             0.00064955
                     17,                 2.3174,                 1.2851,                 2.1463,                      0,                      0,                      0,                      0,                 6.6284,                 4.0828,                 4.2866,             0.00068822,             0.00068822,             0.00068822
                     18,                 2.1137,                 1.2843,                 1.8835,                      0,                      0,                      0,                      0,                 6.6327,                 4.1114,                 4.3073,             0.00072681,             0.00072681,             0.00072681
                     19,                 2.1233,                 1.2565,                 1.9748,                      0,                      0,                      0,                      0,                 6.6361,                 4.2065,                 4.3205,             0.00076533,             0.00076533,             0.00076533
                     20,                 2.3693,                 1.2061,                 1.8607,                      0,                      0,                      0,                      0,                 6.6439,                 4.5869,                 4.3496,             0.00080376,             0.00080376,             0.00080376
                     21,                 2.2793,                 1.2249,                 1.7693,                      0,                      0,                      0,                      0,                 6.6477,                 4.0571,                 4.3721,             0.00084212,             0.00084212,             0.00084212
                     22,                 1.9866,                 1.2187,                 1.7737,                      0,                      0,                      0,                      0,                 6.6533,                 3.8693,                 4.3977,              0.0008804,              0.0008804,              0.0008804
