                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.1565,                 4.2601,                 4.2078,                      0,                      0,                      0,                      0,                 6.5896,                 4.0881,                   4.16,                  2e-05,                  2e-05,                  2e-05
                      1,                 6.4114,                 4.2893,                 4.2844,                      0,                      0,                      0,                      0,                 6.5896,                 4.0877,                 4.1608,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      2,                 6.4983,                 4.7671,                   4.33,                      0,                      0,                      0,                      0,                 6.5899,                 4.0876,                 4.1623,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 6.4491,                 4.2748,                 4.2174,                      0,                      0,                      0,                      0,                 6.5899,                 4.0876,                 4.1637,             0.00013958,             0.00013958,             0.00013958
                      4,                 6.2848,                 3.9554,                 4.0983,                      0,                      0,                      0,                      0,                 6.5902,                 4.0783,                 4.1631,             0.00017929,             0.00017929,             0.00017929
                      5,                 5.7647,                 3.2038,                 3.7667,                      0,                      0,                      0,                      0,                 6.5909,                 4.0725,                 4.1641,             0.00021891,             0.00021891,             0.00021891
                      6,                 5.1514,                 3.0462,                 3.4939,                      0,                      0,                      0,                      0,                 6.5925,                 4.0691,                 4.1666,             0.00025846,             0.00025846,             0.00025846
                      7,                 3.7274,                 2.1008,                 3.5171,                      0,                      0,                      0,                      0,                 6.5929,                 4.0689,                  4.169,             0.00029792,             0.00029792,             0.00029792
                      8,                 4.4458,                 2.4602,                 3.0709,                      0,                      0,                      0,                      0,                 6.5949,                 4.0752,                 4.1714,             0.00033731,             0.00033731,             0.00033731
                      9,                 3.2794,                 2.0434,                 3.1756,                      0,                      0,                      0,                      0,                 6.5961,                 4.0691,                 4.1751,             0.00037661,             0.00037661,             0.00037661
                     10,                 3.0543,                  1.761,                 3.1119,                      0,                      0,                      0,                      0,                 6.5986,                  4.072,                 4.1803,             0.00041584,             0.00041584,             0.00041584
                     11,                 3.3676,                 1.7937,                 2.8087,                      0,                      0,                      0,                      0,                 6.6007,                 4.0704,                 4.1875,             0.00045499,             0.00045499,             0.00045499
                     12,                 3.1589,                 1.7037,                 2.7327,                      0,                      0,                      0,                      0,                 6.6024,                 4.0652,                 4.1943,             0.00049406,             0.00049406,             0.00049406
                     13,                 2.6298,                 1.4493,                 2.6365,                      0,                      0,                      0,                      0,                 6.6058,                 4.0599,                 4.2005,             0.00053305,             0.00053305,             0.00053305
                     14,                 2.6338,                 1.4362,                 2.5437,                      0,                      0,                      0,                      0,                 6.6063,                 4.0222,                  4.207,             0.00057196,             0.00057196,             0.00057196
                     15,                 2.3067,                 1.3209,                 2.6186,                      0,                      0,                      0,                      0,                 6.6096,                 4.0382,                 4.2167,             0.00061079,             0.00061079,             0.00061079
                     16,                 2.9916,                 1.4558,                 2.3615,                      0,                      0,                      0,                      0,                 6.6134,                 3.9909,                 4.2294,             0.00064955,             0.00064955,             0.00064955
                     17,                 2.3874,                 1.3307,                  2.323,                      0,                      0,                      0,                      0,                 6.6168,                 3.9705,                 4.2447,             0.00068822,             0.00068822,             0.00068822
                     18,                 2.4133,                 1.3277,                 2.0577,                      0,                      0,                      0,                      0,                 6.6207,                 3.9291,                 4.2596,             0.00072681,             0.00072681,             0.00072681
                     19,                 2.1242,                 1.2226,                 2.0828,                      0,                      0,                      0,                      0,                 6.6238,                 3.9235,                 4.2705,             0.00076533,             0.00076533,             0.00076533
                     20,                  2.293,                 1.2221,                  1.955,                      0,                      0,                      0,                      0,                 6.6252,                  3.944,                 4.2771,             0.00080376,             0.00080376,             0.00080376
                     21,                 2.1479,                  1.221,                 1.9168,                      0,                      0,                      0,                      0,                 6.6254,                  3.955,                 4.2819,             0.00084212,             0.00084212,             0.00084212
                     22,                 1.9432,                 1.1698,                 1.9169,                      0,                      0,                      0,                      0,                 6.6273,                 3.9793,                 4.2869,              0.0008804,              0.0008804,              0.0008804
                     23,                 2.0566,                 1.1744,                 1.8087,                      0,                      0,                      0,                      0,                 6.6292,                 4.0846,                 4.2964,              0.0009186,              0.0009186,              0.0009186
                     24,                 2.2613,                 1.2598,                 1.8959,                      0,                      0,                      0,                      0,                 6.6324,                 4.1353,                 4.3105,             0.00095672,             0.00095672,             0.00095672
                     25,                 2.3255,                 1.3012,                 1.9244,                      0,                      0,                      0,                      0,                 6.6366,                 4.2684,                 4.3351,             0.00099475,             0.00099475,             0.00099475
                     26,                 2.1967,                 1.2621,                  1.724,                      0,                      0,                      0,                      0,                 6.6431,                  4.188,                 4.3667,              0.0010327,              0.0010327,              0.0010327
                     27,                 1.7799,                  1.144,                 1.4803,                      0,                      0,                      0,                      0,                 6.6431,                  4.188,                 4.3667,              0.0010706,              0.0010706,              0.0010706
                     28,                 1.5645,                 1.0393,                 1.5568,                      0,                      0,                      0,                      0,                 6.6493,                 3.9065,                 4.3989,              0.0011084,              0.0011084,              0.0011084
                     29,                 1.8907,                  1.154,                 1.5005,                      0,                      0,                      0,                      0,                 6.6525,                 3.9583,                 4.4164,              0.0011461,              0.0011461,              0.0011461
                     30,                 1.8565,                 1.2108,                 1.5585,                      0,                      0,                      0,                      0,                 6.6525,                 3.9583,                 4.4164,              0.0011838,              0.0011838,              0.0011838
                     31,                 1.7119,                  1.062,                  1.464,                      0,                      0,                      0,                      0,                 6.6568,                 4.5348,                 4.4403,              0.0012213,              0.0012213,              0.0012213
                     32,                 1.5816,                 1.0416,                 1.4717,                      0,                      0,                      0,                      0,                 6.6583,                 3.9188,                 4.4529,              0.0012588,              0.0012588,              0.0012588
                     33,                 1.7532,                 1.0908,                   1.62,                      0,                      0,                      0,                      0,                 6.6583,                 3.9188,                 4.4529,              0.0012962,              0.0012962,              0.0012962
                     34,                 1.7638,                  1.047,                 1.4207,                      0,                      0,                      0,                      0,                 6.6616,                 3.9475,                 4.4649,              0.0013335,              0.0013335,              0.0013335
                     35,                 1.6541,                 1.0783,                 1.3493,                      0,                      0,                      0,                      0,                  6.667,                 3.9774,                 4.5019,              0.0013708,              0.0013708,              0.0013708
                     36,                 1.5204,                 1.0424,                 1.4566,                      0,                      0,                      0,                      0,                  6.667,                 3.9774,                 4.5019,               0.001408,               0.001408,               0.001408
                     37,                 1.5099,                  1.007,                 1.5315,                      0,                      0,                      0,                      0,                 6.6725,                 3.9916,                 4.5331,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.7341,                 1.0175,                 1.5005,                      0,                      0,                      0,                      0,                 6.6772,                 4.0319,                 4.5671,              0.0014821,              0.0014821,              0.0014821
                     39,                 1.3295,                0.95593,                 1.3566,                      0,                      0,                      0,                      0,                 6.6772,                 4.0319,                 4.5671,               0.001519,               0.001519,               0.001519
                     40,                  1.682,                0.99317,                 1.3712,                      0,                      0,                      0,                      0,                  6.681,                 4.0713,                 4.5995,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.9717,                 1.0069,                 1.3551,                      0,                      0,                      0,                      0,                 6.6818,                  4.055,                 4.6003,              0.0015926,              0.0015926,              0.0015926
                     42,                 1.6294,                 1.0119,                  1.381,                      0,                      0,                      0,                      0,                 6.6818,                  4.055,                 4.6003,              0.0016293,              0.0016293,              0.0016293
                     43,                  1.545,                 1.0247,                 1.4165,                      0,                      0,                      0,                      0,                 6.6841,                 4.0022,                 4.5999,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.5943,                 1.1039,                 1.5282,                      0,                      0,                      0,                      0,                 6.6841,                 4.0022,                 4.5999,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.6248,                 1.0423,                  1.319,                      0,                      0,                      0,                      0,                 6.6887,                 3.9571,                 4.6074,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.3877,                0.96616,                 1.2972,                      0,                      0,                      0,                      0,                 6.6887,                 3.9571,                 4.6074,              0.0017753,              0.0017753,              0.0017753
                     47,                 1.5991,                0.98549,                 1.2587,                      0,                      0,                      0,                      0,                 6.6945,                 3.9369,                  4.607,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.7277,                 1.0715,                 1.4201,                      0,                      0,                      0,                      0,                 6.6945,                 3.9369,                  4.607,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.8539,                 1.0475,                 1.3654,                      0,                      0,                      0,                      0,                 6.6795,                 3.7837,                 4.4765,               0.001884,               0.001884,               0.001884
                     50,                 1.6345,                0.99637,                 1.3288,                      0,                      0,                      0,                      0,                 6.6795,                 3.7837,                 4.4765,               0.001901,               0.001901,               0.001901
                     51,                 1.4847,                 1.0089,                 1.3734,                0.00361,                0.00668,                0.00305,                 0.0003,                 6.3311,                  3.288,                 4.0414,               0.001901,               0.001901,               0.001901
                     52,                 1.4262,                 1.0626,                 1.3015,                0.00361,                0.00668,                0.00305,                 0.0003,                 6.3311,                  3.288,                 4.0414,               0.001899,               0.001899,               0.001899
                     53,                 1.3968,                0.98049,                 1.3951,                0.03552,                0.16036,                 0.0924,                0.02429,                 4.6622,                 2.5018,                 3.2207,               0.001897,               0.001897,               0.001897
