                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  6.158,                 4.3147,                 4.2132,                      0,                      0,                      0,                      0,                 6.5896,                 4.0884,                 4.1606,                  2e-05,                  2e-05,                  2e-05
                      1,                 6.3997,                 4.3331,                 4.2872,                      0,                      0,                      0,                      0,                 6.5896,                 4.0882,                 4.1617,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      2,                 6.4826,                  4.624,                 4.2414,                      0,                      0,                      0,                      0,                 6.5899,                 4.0875,                 4.1636,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 6.3966,                 4.1141,                 4.1706,                      0,                      0,                      0,                      0,                 6.5903,                 4.0853,                 4.1651,             0.00013958,             0.00013958,             0.00013958
                      4,                 6.2117,                 3.9159,                 4.1498,                      0,                      0,                      0,                      0,                 6.5902,                 4.0882,                 4.1658,             0.00017929,             0.00017929,             0.00017929
                      5,                 6.1133,                 3.7815,                 4.0373,                      0,                      0,                      0,                      0,                 6.5906,                 4.0899,                  4.168,             0.00021891,             0.00021891,             0.00021891
                      6,                 6.0485,                 3.6156,                 3.8233,                      0,                      0,                      0,                      0,                 6.5913,                 4.0957,                 4.1713,             0.00025846,             0.00025846,             0.00025846
                      7,                  4.952,                 2.9388,                 3.9098,                      0,                      0,                      0,                      0,                 6.5934,                 4.1044,                 4.1754,             0.00029792,             0.00029792,             0.00029792
                      8,                 5.2426,                 3.1322,                 3.6866,                      0,                      0,                      0,                      0,                 6.5933,                 4.1061,                  4.178,             0.00033731,             0.00033731,             0.00033731
                      9,                 4.5191,                 2.8373,                 3.8764,                      0,                      0,                      0,                      0,                 6.5935,                 4.1132,                 4.1839,             0.00037661,             0.00037661,             0.00037661
                     10,                 4.0934,                 2.6705,                 3.9066,                      0,                      0,                      0,                      0,                 6.5971,                 4.1256,                 4.1899,             0.00041584,             0.00041584,             0.00041584
                     11,                 4.3418,                 2.5022,                 3.6446,                      0,                      0,                      0,                      0,                 6.5982,                 4.1369,                  4.199,             0.00045499,             0.00045499,             0.00045499
                     12,                 4.2925,                  2.427,                 3.4802,                      0,                      0,                      0,                      0,                  6.601,                 4.1493,                 4.2093,             0.00049406,             0.00049406,             0.00049406
                     13,                 3.7609,                 2.2333,                 3.3741,                      0,                      0,                      0,                      0,                 6.6051,                 4.1691,                 4.2228,             0.00053305,             0.00053305,             0.00053305
                     14,                 3.6909,                 2.2195,                 3.3347,                      0,                      0,                      0,                      0,                 6.6076,                 4.1881,                 4.2397,             0.00057196,             0.00057196,             0.00057196
                     15,                 3.1003,                 1.9707,                  3.272,                      0,                      0,                      0,                      0,                 6.6148,                 4.2044,                 4.2588,             0.00061079,             0.00061079,             0.00061079
                     16,                 3.6528,                 2.0993,                 3.0902,                      0,                      0,                      0,                      0,                 6.6188,                 4.2303,                 4.2807,             0.00064955,             0.00064955,             0.00064955
                     17,                 3.1284,                 1.9674,                 3.1537,                      0,                      0,                      0,                      0,                 6.6241,                 4.2578,                 4.3021,             0.00068822,             0.00068822,             0.00068822
                     18,                 2.9263,                  1.813,                 2.7968,                      0,                      0,                      0,                      0,                 6.6304,                 4.2729,                 4.3225,             0.00072681,             0.00072681,             0.00072681
                     19,                 2.7212,                 1.6577,                 2.8008,                      0,                      0,                      0,                      0,                 6.6351,                 4.2901,                 4.3442,             0.00076533,             0.00076533,             0.00076533
                     20,                 2.7169,                 1.5488,                 2.6228,                      0,                      0,                      0,                      0,                   6.64,                  4.296,                 4.3639,             0.00080376,             0.00080376,             0.00080376
                     21,                 2.5218,                 1.5139,                 2.5691,                      0,                      0,                      0,                      0,                 6.6451,                 4.2966,                 4.3831,             0.00084212,             0.00084212,             0.00084212
                     22,                 2.4011,                  1.485,                 2.4726,                      0,                      0,                      0,                      0,                 6.6524,                 4.3094,                 4.4119,              0.0008804,              0.0008804,              0.0008804
                     23,                 2.4263,                 1.4558,                 2.3516,                      0,                      0,                      0,                      0,                 6.6577,                  4.309,                 4.4361,              0.0009186,              0.0009186,              0.0009186
                     24,                 2.5301,                 1.4696,                 2.3298,                      0,                      0,                      0,                      0,                 6.6628,                 4.3068,                 4.4587,             0.00095672,             0.00095672,             0.00095672
                     25,                 2.5192,                 1.4339,                 2.2309,                      0,                      0,                      0,                      0,                 6.6692,                 4.3202,                 4.4835,             0.00099475,             0.00099475,             0.00099475
                     26,                 2.3939,                 1.3767,                 2.0923,                      0,                      0,                      0,                      0,                 6.6778,                 4.3434,                 4.5226,              0.0010327,              0.0010327,              0.0010327
                     27,                 2.2765,                   1.34,                 1.9934,                      0,                      0,                      0,                      0,                 6.6778,                 4.3434,                 4.5226,              0.0010706,              0.0010706,              0.0010706
                     28,                 1.8601,                 1.2174,                 2.0334,                      0,                      0,                      0,                      0,                 6.6848,                 4.3775,                 4.5651,              0.0011084,              0.0011084,              0.0011084
                     29,                 2.0192,                 1.2775,                 1.9346,                      0,                      0,                      0,                      0,                 6.6924,                 4.1356,                   4.61,              0.0011461,              0.0011461,              0.0011461
                     30,                 2.1229,                  1.324,                 1.8741,                      0,                      0,                      0,                      0,                 6.6924,                 4.1356,                   4.61,              0.0011838,              0.0011838,              0.0011838
                     31,                 1.9802,                 1.2155,                 1.7737,                      0,                      0,                      0,                      0,                 6.6961,                 4.2057,                 4.6384,              0.0012213,              0.0012213,              0.0012213
                     32,                 1.9046,                 1.2664,                 1.8096,                      0,                      0,                      0,                      0,                 6.6947,                 4.2061,                 4.6313,              0.0012588,              0.0012588,              0.0012588
                     33,                 1.8152,                 1.2276,                 1.8437,                      0,                      0,                      0,                      0,                 6.6947,                 4.2061,                 4.6313,              0.0012962,              0.0012962,              0.0012962
                     34,                 1.8933,                  1.144,                 1.6482,                      0,                      0,                      0,                      0,                 6.6897,                 4.1469,                 4.5974,              0.0013335,              0.0013335,              0.0013335
                     35,                 1.7716,                 1.1218,                 1.5837,                      0,                      0,                      0,                      0,                 6.6838,                 4.1478,                 4.5673,              0.0013708,              0.0013708,              0.0013708
                     36,                 1.8268,                 1.2304,                 1.7144,                      0,                      0,                      0,                      0,                 6.6838,                 4.1478,                 4.5673,               0.001408,               0.001408,               0.001408
                     37,                 1.6008,                 1.1451,                 1.7146,                      0,                      0,                      0,                      0,                 6.6842,                 4.1616,                 4.5678,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.7039,                  1.086,                 1.6451,                      0,                      0,                      0,                      0,                 6.6817,                 4.1605,                 4.5562,              0.0014821,              0.0014821,              0.0014821
                     39,                 1.4662,                 1.0468,                 1.5285,                      0,                      0,                      0,                      0,                 6.6817,                 4.1605,                 4.5562,               0.001519,               0.001519,               0.001519
                     40,                  1.621,                  1.048,                 1.4867,                      0,                      0,                      0,                      0,                 6.6822,                 4.2031,                 4.5546,              0.0015558,              0.0015558,              0.0015558
                     41,                  1.696,                 1.0059,                 1.4064,                      0,                      0,                      0,                      0,                  6.682,                 4.2084,                 4.5465,              0.0015926,              0.0015926,              0.0015926
                     42,                 1.6558,                 1.0731,                 1.4616,                      0,                      0,                      0,                      0,                  6.682,                 4.2084,                 4.5465,              0.0016293,              0.0016293,              0.0016293
                     43,                 1.5613,                 1.0854,                 1.4854,                      0,                      0,                      0,                      0,                 6.6897,                 4.2313,                  4.582,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.5614,                 1.1716,                 1.5927,                      0,                      0,                      0,                      0,                 6.6897,                 4.2313,                  4.582,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.6132,                 1.1026,                 1.3667,                      0,                      0,                      0,                      0,                 6.6953,                 4.2726,                  4.618,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.5243,                 1.0789,                 1.3977,                      0,                      0,                      0,                      0,                 6.6953,                 4.2726,                  4.618,              0.0017753,              0.0017753,              0.0017753
                     47,                  1.899,                 1.0908,                 1.3734,                      0,                      0,                      0,                      0,                 6.6927,                 4.2384,                 4.6029,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.5126,                 1.0679,                 1.4194,                      0,                      0,                      0,                      0,                 6.6927,                 4.2384,                 4.6029,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.5323,                 1.0175,                 1.3395,                      0,                      0,                      0,                      0,                 6.6702,                 4.1707,                 4.4857,               0.001884,               0.001884,               0.001884
