                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.1465,                 4.4857,                 4.2775,                      0,                      0,                      0,                      0,                 6.5896,                 4.0876,                 4.1592,                  2e-05,                  2e-05,                  2e-05
                      1,                 6.4152,                 4.4567,                 4.2769,                      0,                      0,                      0,                      0,                 6.5896,                  4.088,                 4.1594,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      2,                 6.5056,                 4.8671,                 4.3202,                      0,                      0,                      0,                      0,                 6.5898,                 4.0867,                 4.1594,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 6.4261,                 4.0569,                 4.1854,                      0,                      0,                      0,                      0,                 6.5896,                 4.0844,                 4.1597,             0.00013958,             0.00013958,             0.00013958
                      4,                  6.178,                 3.5125,                 4.0518,                      0,                      0,                      0,                      0,                 6.5882,                 4.0875,                 4.1589,             0.00017929,             0.00017929,             0.00017929
                      5,                 5.8073,                  2.934,                 3.8828,                      0,                      0,                      0,                      0,                 6.5888,                 4.0922,                 4.1608,             0.00021891,             0.00021891,             0.00021891
                      6,                 5.5438,                 3.3068,                 3.7715,                      0,                      0,                      0,                      0,                 6.5892,                 4.0954,                 4.1631,             0.00025846,             0.00025846,             0.00025846
                      7,                 5.0247,                 2.8302,                 3.9094,                      0,                      0,                      0,                      0,                 6.5894,                 4.0999,                 4.1658,             0.00029792,             0.00029792,             0.00029792
                      8,                 4.9024,                 2.7034,                 3.6239,                      0,                      0,                      0,                      0,                 6.5905,                  4.096,                 4.1691,             0.00033731,             0.00033731,             0.00033731
                      9,                 3.9249,                 2.2752,                 3.8823,                      0,                      0,                      0,                      0,                 6.5922,                 4.1017,                 4.1738,             0.00037661,             0.00037661,             0.00037661
                     10,                 3.5341,                 2.1833,                 3.7999,                      0,                      0,                      0,                      0,                 6.5931,                 4.1081,                 4.1799,             0.00041584,             0.00041584,             0.00041584
                     11,                 3.6825,                 2.0646,                 3.4056,                      0,                      0,                      0,                      0,                  6.595,                 4.1037,                 4.1881,             0.00045499,             0.00045499,             0.00045499
                     12,                 3.3317,                 1.8977,                 3.1407,                      0,                      0,                      0,                      0,                 6.5992,                 4.1031,                 4.1973,             0.00049406,             0.00049406,             0.00049406
                     13,                 2.7158,                 1.6467,                 3.1081,                      0,                      0,                      0,                      0,                  6.601,                 4.1048,                 4.2093,             0.00053305,             0.00053305,             0.00053305
                     14,                 2.7941,                 1.6176,                 2.9933,                      0,                      0,                      0,                      0,                 6.6052,                 4.1059,                 4.2238,             0.00057196,             0.00057196,             0.00057196
                     15,                 2.4646,                 1.5398,                 2.9765,                      0,                      0,                      0,                      0,                 6.6099,                 4.1062,                 4.2396,             0.00061079,             0.00061079,             0.00061079
                     16,                 2.8627,                 1.5612,                 2.5374,                      0,                      0,                      0,                      0,                 6.6154,                  4.104,                 4.2577,             0.00064955,             0.00064955,             0.00064955
                     17,                 2.4338,                 1.5148,                  2.905,                      0,                      0,                      0,                      0,                 6.6215,                 4.1147,                 4.2769,             0.00068822,             0.00068822,             0.00068822
                     18,                 2.3158,                 1.4486,                 2.4316,                      0,                      0,                      0,                      0,                 6.6278,                 4.0799,                  4.301,             0.00072681,             0.00072681,             0.00072681
                     19,                 2.2139,                  1.331,                  2.546,                      0,                      0,                      0,                      0,                 6.6358,                 4.0807,                 4.3301,             0.00076533,             0.00076533,             0.00076533
                     20,                 2.1202,                 1.2512,                 2.4066,                      0,                      0,                      0,                      0,                  6.644,                 4.0885,                 4.3632,             0.00080376,             0.00080376,             0.00080376
                     21,                 1.9897,                 1.2624,                 2.2905,                      0,                      0,                      0,                      0,                 6.6503,                  4.101,                 4.3902,             0.00084212,             0.00084212,             0.00084212
                     22,                 2.0592,                 1.3128,                 2.3998,                      0,                      0,                      0,                      0,                 6.6561,                 4.0817,                 4.4124,              0.0008804,              0.0008804,              0.0008804
                     23,                 1.9766,                  1.219,                 2.2365,                      0,                      0,                      0,                      0,                 6.6615,                 4.1085,                 4.4337,              0.0009186,              0.0009186,              0.0009186
                     24,                 2.2283,                 1.3123,                  2.265,                      0,                      0,                      0,                      0,                 6.6659,                 4.1516,                 4.4565,             0.00095672,             0.00095672,             0.00095672
                     25,                 2.2782,                 1.3161,                 2.1164,                      0,                      0,                      0,                      0,                 6.6693,                 4.1853,                 4.4768,             0.00099475,             0.00099475,             0.00099475
                     26,                 2.1654,                 1.2846,                 1.9729,                      0,                      0,                      0,                      0,                 6.6746,                 4.2398,                 4.5032,              0.0010327,              0.0010327,              0.0010327
                     27,                 1.8492,                 1.1813,                 1.8175,                      0,                      0,                      0,                      0,                 6.6746,                 4.2398,                 4.5032,              0.0010706,              0.0010706,              0.0010706
                     28,                 1.6686,                 1.1246,                 1.9941,                      0,                      0,                      0,                      0,                 6.6779,                 4.2637,                 4.5201,              0.0011084,              0.0011084,              0.0011084
                     29,                 1.8264,                 1.1771,                 1.8648,                      0,                      0,                      0,                      0,                 6.6846,                 4.2639,                 4.5583,              0.0011461,              0.0011461,              0.0011461
                     30,                  1.993,                 1.2379,                 1.8365,                      0,                      0,                      0,                      0,                 6.6846,                 4.2639,                 4.5583,              0.0011838,              0.0011838,              0.0011838
                     31,                 1.7711,                 1.1164,                 1.7272,                      0,                      0,                      0,                      0,                 6.7008,                 4.0551,                 4.6463,              0.0012213,              0.0012213,              0.0012213
                     32,                 1.6933,                 1.1427,                  1.768,                      0,                      0,                      0,                      0,                 6.7206,                 4.0661,                  4.759,              0.0012588,              0.0012588,              0.0012588
                     33,                 1.8257,                 1.1532,                 1.8325,                      0,                      0,                      0,                      0,                 6.7206,                 4.0661,                  4.759,              0.0012962,              0.0012962,              0.0012962
                     34,                 1.7553,                 1.0772,                 1.5941,                      0,                      0,                      0,                      0,                 6.7348,                 4.0796,                 4.8502,              0.0013335,              0.0013335,              0.0013335
                     35,                 1.6101,                 1.1044,                 1.5207,                      0,                      0,                      0,                      0,                 6.7421,                 4.1158,                 4.9027,              0.0013708,              0.0013708,              0.0013708
                     36,                 1.6524,                 1.1348,                 1.7029,                      0,                      0,                      0,                      0,                 6.7421,                 4.1158,                 4.9027,               0.001408,               0.001408,               0.001408
                     37,                  1.439,                 1.0757,                 1.7064,                      0,                      0,                      0,                      0,                 6.7463,                  4.218,                 4.9367,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.5785,                 1.0514,                  1.605,                      0,                      0,                      0,                      0,                 6.7389,                 4.1883,                  4.885,              0.0014821,              0.0014821,              0.0014821
                     39,                  1.558,                 1.0954,                 1.5689,                      0,                      0,                      0,                      0,                 6.7389,                 4.1883,                  4.885,               0.001519,               0.001519,               0.001519
                     40,                 1.5203,                 1.0547,                 1.4645,                      0,                      0,                      0,                      0,                 6.7383,                   4.18,                 4.8962,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.4722,                0.96267,                  1.351,                      0,                      0,                      0,                      0,                 6.7477,                 4.2194,                 4.9847,              0.0015926,              0.0015926,              0.0015926
